t	result
7.607843137254899e-05	-5.162748e+00
7.647058823529410e-05	-5.274714e+00
7.686274509803920e-05	-5.343672e+00
7.725490196078430e-05	-5.358578e+00
7.764705882352940e-05	-5.315277e+00
7.803921568627449e-05	-5.217073e+00
7.843137254901960e-05	-5.074282e+00
7.882352941176470e-05	-4.902840e+00
7.921568627450980e-05	-4.722158e+00
7.960784313725490e-05	-4.552498e+00
8.000000000000001e-05	-4.412242e+00
8.039215686274510e-05	-4.315413e+00
8.078431372549020e-05	-4.269781e+00
8.117647058823530e-05	-4.275816e+00
8.156862745098040e-05	-4.326633e+00
8.196078431372551e-05	-4.408917e+00
8.235294117647059e-05	-4.504730e+00
8.274509803921570e-05	-4.593935e+00
8.313725490196080e-05	-4.656877e+00
8.352941176470590e-05	-4.677138e+00
8.392156862745100e-05	-4.643709e+00
8.431372549019609e-05	-4.552476e+00
8.470588235294120e-05	-4.406792e+00
8.509803921568630e-05	-4.217014e+00
8.549019607843140e-05	-3.999126e+00
8.588235294117650e-05	-3.772573e+00
8.627450980392161e-05	-3.557645e+00
8.666666666666670e-05	-3.372747e+00
8.705882352941180e-05	-3.231914e+00
8.745098039215690e-05	-3.142929e+00
8.784313725490200e-05	-3.106274e+00
8.823529411764711e-05	-3.115077e+00
8.862745098039219e-05	-3.156042e+00
8.901960784313730e-05	-3.211261e+00
8.941176470588240e-05	-3.260630e+00
8.980392156862750e-05	-3.284581e+00
9.019607843137260e-05	-3.266724e+00
9.058823529411769e-05	-3.196074e+00
9.098039215686280e-05	-3.068541e+00
9.137254901960790e-05	-2.887486e+00
9.176470588235291e-05	-2.663282e+00
9.215686274509800e-05	-2.411916e+00
9.254901960784321e-05	-2.152841e+00
9.294117647058820e-05	-1.906358e+00
9.333333333333330e-05	-1.690883e+00
9.372549019607841e-05	-1.520468e+00
9.411764705882349e-05	-1.402913e+00
9.450980392156860e-05	-1.338725e+00
9.490196078431370e-05	-1.321055e+00
9.529411764705880e-05	-1.336634e+00
9.568627450980390e-05	-1.367575e+00
9.607843137254901e-05	-1.393796e+00
9.647058823529410e-05	-1.395746e+00
9.686274509803920e-05	-1.357050e+00
9.725490196078430e-05	-1.266732e+00
9.764705882352940e-05	-1.120707e+00
9.803921568627451e-05	-9.223451e-01
9.843137254901959e-05	-6.820225e-01
9.882352941176470e-05	-4.157326e-01
9.921568627450980e-05	-1.429364e-01
9.960784313725490e-05	1.160561e-01
1.000000000000000e-04	3.438549e-01
